mean,std,max,min,range,skewness,kurtosis,rms,crest_factor,variance,zero_crossings,dominant_freq,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_flatness,event,event_str,label
-9.471571180236093e-05,0.001704960709967,0.0068183159759334,-0.0069517725090032,0.0137700884849367,-0.0756144844830002,0.7231332729197812,0.0017075895550727,3.992947810952726,2.9068910225313216e-06,1876,150.0,1.2136363580856765e-07,1147.731237744488,2064.459259836868,0.1562087652994986,normal,normal,0
3.5900250547331375e-05,0.0018116062578927,0.0149190628266137,-0.0161334237671451,0.0310524865937588,-0.1472035116250722,9.679682219622268,0.0018119619371348,8.233651337182188,3.2819172336361963e-06,5426,25.0,1.3530825889914145e-07,1116.6409039260143,1938.6997924565856,0.149715478126384,squat K,squat K,1
2.584710830526508e-06,0.0010728900905206,0.0047570526230888,-0.0042869938920855,0.0090440465151743,0.0047563628155307,-0.0040329427340517,0.0010728932039432,4.433854744913357,1.1510931463374376e-06,7090,25.0,4.458919418501131e-08,2955.249943101234,2606.482813464758,0.415352269690404,normal,normal,0
-2.093026271632515e-05,0.0010418533498414,0.0043373038893521,-0.0042152092355413,0.0085525131248935,0.0028805851320612,-0.0232917148022213,0.0010420635673859,4.16222582297193,1.0854584025758057e-06,7338,25.0,4.2637265224701306e-08,3039.602832330248,2588.417877826173,0.4279347757614778,normal,normal,0
-1.0765018798945291e-05,0.0009892766710869,0.0039569190649436,-0.0043016796427551,0.0082585987076988,-0.0039539729359053,-0.0263759160826007,0.0009893352402429,3.999573556049615,9.7866833195682e-07,7682,150.0,3.8444043262591054e-08,3332.1348153355493,2539.9936498683896,0.4605332241263074,normal,normal,0
9.872299995877472e-06,0.0010303206802461,0.0045824047159111,-0.0042658362083224,0.0088482409242336,-0.0177376657816432,0.039258782688877,0.0010303679762347,4.447347764685406,1.061560704142954e-06,7480,25.0,4.209781259173988e-08,3096.379239456092,2597.0180744758622,0.4319222482821662,normal,normal,0
-7.840784040945424e-06,0.0010323736001939,0.0042762183662908,-0.0039942716961425,0.0082704900624333,-0.0184362042466948,-0.0386756483024584,0.001032403374787,4.142003475310955,1.065795250377366e-06,7478,325.0,4.1607045232633014e-08,3137.457674687903,2571.5539266348333,0.4347165511237066,normal,normal,0
-5.617057383753201e-06,0.0010048905124406,0.0040527407625396,-0.0040475331994486,0.0081002739619883,-0.032522620838717,-0.0220595767282718,0.0010049062112091,4.0329542372547005,1.0098049419931693e-06,7492,325.0,3.9341572965532246e-08,3237.416492507746,2544.264106648384,0.4489841842385322,normal,normal,0
-8.578183159792239e-06,0.0013302004668819,0.0047808899689585,-0.0052470216007524,0.0100279115697109,-0.0113142862193371,-0.0041422124084831,0.0013302281260443,3.594037650651247,1.7694332820930686e-06,5601,475.0,6.99135300177101e-08,1968.3695581066468,2384.453288368576,0.2772745843103846,normal,normal,0
-1.196180712995476e-06,0.0248332355093249,0.2061066200229634,-0.2304968121618502,0.4366034321848137,-0.3539866185290515,28.58350622437372,0.024833235538134,8.299628121614067,0.0006166895858615,2376,400.0,2.5480425516805988e-05,390.3606154364518,279.2002657961942,0.002056813662125,joint X,joint X,1
